Name,Symptoms
Abdominal aortic aneurysm|Aneurisma aorta abdominal,['nausea or pulsating abdominal mass|mual atau massa perut yang berdenyut']
Acne|Jerawat,"['Whiteheads (closed plugged pores)|Komedo putih (pori-pori tersumbat tertutup)', 'Blackheads (open plugged pores)|Komedo (pori-pori tersumbat terbuka)', 'Small red, tender bumps (papules)|Benjolan kecil berwarna merah dan lembut (papula)']"
Acute cholecystitis|Kolesistitis akut,"['Severe pain in your upper right or center abdomen|Nyeri hebat di perut kanan atas atau tengah', 'Pain that spreads to your right shoulder or back|Nyeri yang menyebar ke bahu kanan atau punggung', ""Tenderness over your abdomen when it's touched|Nyeri pada perut Anda saat disentuh"", 'Nausea|Mual', 'Vomiting|Muntah', 'Fever|Demam', 'clay-colored stool|bangku berwarna tanah liat', 'vomiting|muntah', 'nausea|mual', 'fever|demam', 'pain, typically after a meal|nyeri, biasanya setelah makan', 'chills|panas dingin', 'abdominal bloating|perut kembung']"
Acute lymphoblastic leukaemia|Leukemia limfoblastik akut,"['Bleeding from the gums|Pendarahan dari gusi', 'Bone pain|Sakit tulang', 'Fever|Demam', 'Frequent infections|Infeksi yang sering', 'Frequent or severe nosebleeds|Mimisan yang sering atau parah', 'Pale skin|Kulit pucat', 'Shortness of breath|Sesak napas']"
Acute lymphoblastic leukaemia: Children|Leukemia limfoblastik akut: Anak-anak,"['Frequent infections|Infeksi yang sering', 'Fever|Demam', 'Easy bruising|Mudah memar', 'Bleeding that is hard to stop|Pendarahan yang sulit dihentikan', 'Pain in the bones or joints|Nyeri pada tulang atau persendian', 'Lumps in the neck, underarm, stomach or groin|Benjolan di leher, ketiak, perut, atau selangkangan', 'Pain or fullness below the ribs|Nyeri atau rasa penuh di bawah tulang rusuk', 'Anemia |Anemia', 'Bleeding and/or bruising |Pendarahan dan / atau memar', 'Bone and joint pain |Nyeri tulang dan sendi', 'Recurrent fevers/infections |Demam / infeksi berulang', 'Abdominal pain |Sakit perut', 'Swollen lymph nodes |Kelenjar getah bening membengkak', 'Difficulty breathing|Sulit bernafas']"
Acute myeloid leukaemia|Leukemia myeloid akut,"['skin looking pale or ""washed out""|kulit tampak pucat atau ""luntur""', 'tiredness|kelelahan', 'breathlessness|sesak napas', 'sweating a lot|banyak berkeringat', 'losing weight without trying|menurunkan berat badan tanpa mencoba', 'frequent infections|infeksi yang sering terjadi']"
Acute myeloid leukaemia: Children|Leukemia myeloid akut: Anak-anak,"['Fever|Demam', 'Infection|Infeksi', 'Easy bruising and bleeding|Mudah memar dan berdarah', 'Frequent nosebleeds|Sering mimisan', 'Pain in bones or joints|Nyeri pada tulang atau persendian', 'Swollen glands|Kelenjar bengkak', 'Poor appetite|Nafsu makan buruk']"
Acute pancreatitis|Pankreatitis akut,"['Upper abdominal pain|Nyeri perut bagian atas', 'Abdominal pain that radiates to your back|Sakit perut yang menjalar ke punggung Anda', 'Abdominal pain that feels worse after eating|Sakit perut yang terasa semakin parah setelah makan', 'Fever|Demam', 'Rapid pulse|Denyut nadi cepat', 'Nausea|Mual', 'Vomiting|Muntah', 'Tenderness when touching the abdomen|Nyeri saat menyentuh perut']"
Addison's disease|penyakit Addison,"['Extreme fatigue|Kelelahan yang ekstrim', 'Weight loss and decreased appetite|Penurunan berat badan dan penurunan nafsu makan', 'Darkening of your skin (hyperpigmentation)|Kulit Anda menjadi gelap (hiperpigmentasi)', 'Low blood pressure, even fainting|Tekanan darah rendah, bahkan sampai pingsan', 'Salt craving|Mengidam garam', 'Low blood sugar (hypoglycemia)|Gula darah rendah (hipoglikemia)', 'Abdominal pain|Sakit perut']"
Alcohol-related liver disease|Penyakit hati terkait alkohol,"['feeling sick|merasa sakit', 'weight loss|penurunan berat badan', 'loss of appetite|kehilangan selera makan', 'yellowing of the eyes and skin (jaundice)|menguningnya mata dan kulit (penyakit kuning)', 'swelling in the ankles and tummy|bengkak di pergelangan kaki dan perut', 'confusion or drowsiness|kebingungan atau kantuk', 'vomiting blood or passing blood in your stools|muntah darah atau mengeluarkan darah di tinja Anda']"
